id,名称,地址,电话,经度_GCJ02,纬度_GCJ02,经度_WGS84,纬度_WGS84,Center_X,Center_Y,类型代码,类型名称,省份,城市,区域,营业时间,评分
B0KBOR9MBA,煲珠妹(广厦城店),广厦城6号广厦城巢上二期,[],106.530203,29.491083,,,440886.38095141196,3262550.268399872,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,3.5
B0LK35YXL8,君君串串王广夏城直营店,龙江路6号附26号,[],106.53057,29.491514,,,440922.207586157,3262597.8380633793,050117,餐饮服务;中餐厅;火锅店,重庆市,重庆市,九龙坡区,,3.4
B0M6NRFQ02,小谭烧烤,广厦城6号广厦城巢上二期,[],106.530425,29.490975,,,440907.8386938287,3262538.188953101,050118,餐饮服务;中餐厅;特色/地方风味餐厅,重庆市,重庆市,九龙坡区,,2.8
B0LK1HDF2C,蒸鲜道现包坊,广夏城6号附77号,[],106.53046,29.490985,,,440911.2373600769,3262539.2792106164,050000,餐饮服务;餐饮相关场所;餐饮相关,重庆市,重庆市,九龙坡区,,3.4
B0HR0SVJ22,九龙阁,九龙花园东门北50米,023-68187898;13667682107,106.528901,29.491346,,,440760.3195936,3262580.071588021,050600,餐饮服务;茶艺馆;茶艺馆,重庆市,重庆市,九龙坡区,,4.4
B0H1MR1AX6,迷小笼·现包小笼包(广厦城店),广厦城6号8栋附11号,023-68660567,106.530278,29.491065,,,440893.64091519854,3262548.23585604,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,3.9
B001794M9M,豌豆刀削牛肉面,广厦城6号附33号,13452047630,106.531384,29.491355,,,441001.0233271862,3262579.8074751636,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.0
B0LBML6V2W,面家饭,广厦城6号广厦城巢上二期,[],106.530046,29.491074,,,440871.1563269043,3262549.3509306638,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,2.7
B0HK159IV8,渝味当年老火锅,黄桷坪街道广厦城6号5栋1层商铺,18725833121,106.530493,29.491543,,,440914.7601563987,3262601.0904359943,050117,餐饮服务;中餐厅;火锅店,重庆市,重庆市,九龙坡区,,4.5
B0HROUICW6,田园风土鲫鱼(广厦城店),九龙坡龙江路12号附1号,13618288661,106.528228,29.492164,,,440695.5563757688,3262671.0510919844,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.4
B0M6ZS12BL,晓憨包,龙广路与邮电路交叉口北40米,[],106.531525,29.491325,,,441014.67428562144,3262576.4119180804,050300,餐饮服务;快餐厅;快餐厅,重庆市,重庆市,九龙坡区,,3.5
B0K0US2UWQ,芝麻哥·烤肉·小豆腐(广厦城店),黄角坪街道广厦城6号5栋1层商铺9号,13368357612;18996217718,106.530163,29.491629,,,440882.82041821635,3262610.787066503,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,3.9
B0FFKAXOEQ,晏氏民间菜,九龙镇九龙三村30号附14号,023-68037990,106.528338,29.491679,,,440705.9370867462,3262617.2556522666,050102,餐饮服务;中餐厅;四川菜(川菜),重庆市,重庆市,九龙坡区,,4.4
B0L666EJXJ,五哥酱肉包,广厦城一期6号院西区西南1门旁,[],106.531425,29.491325,,,441004.98042588786,3262576.462606018,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,3.3
B0JDML4DN4,杨二娃串串王(广厦城巢上二期店),广厦城6号广厦城巢上二期,17723033101,106.529622,29.491164,,,440830.1065558866,3262559.5386814196,050117,餐饮服务;中餐厅;火锅店,重庆市,重庆市,九龙坡区,,4.0
B0LAPUIW1Y,二妹烤鱼江湖菜家常菜,黄桷坪街道九龙坡区广厦城6号8栋附18号,13272558688,106.530676,29.491037,,,440932.20633555454,3262544.9313091496,050118,餐饮服务;中餐厅;特色/地方风味餐厅,重庆市,重庆市,九龙坡区,,3.0
B0HRU5G93Z,何醉鲜美蛙三合鱼,广厦城一期西南门旁,023-62514124;15723356522,106.529738,29.491691,,,440841.65765540465,3262617.8728077896,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.1
B0JDGUNOFC,三叶仔石锅土鲫鱼(广厦城店),九龙小学东南2门南110米,18368316800,106.529685,29.491824,,,440836.5972117588,3262632.6365292263,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.3
B0FFHG8NB4,湘味木桶饭又见面(广厦城店),杨家坪摊子口广夏城2号,[],106.530193,29.493124,,,440886.59658461896,3262776.4220922356,050108,餐饮服务;中餐厅;湖南菜(湘菜),重庆市,重庆市,九龙坡区,,3.5
B0LK57TU6R,正新鸡排(重庆广厦城店),龙广路广厦城6号附18号,[],106.529725,29.491675,,,440840.38816121576,3262616.106570615,050300,餐饮服务;快餐厅;快餐厅,重庆市,重庆市,九龙坡区,,3.6
B0JGFCOPZO,牛香阁串串王(龙广路店),广厦城6号附26号,18502356777,106.530588,29.491509,,,440923.949576712,3262597.27491191,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,3.8
B0LU2GSQG5,七芳鲜包(九龙民间文化美食街店),黄桷坪街道九龙三村30号附21号,17353290507,106.528826,29.491463,,,440753.117280463,3262593.0737007423,050000,餐饮服务;餐饮相关场所;餐饮相关,重庆市,重庆市,九龙坡区,,3.5
B0K0UKTH1Z,新疆麦麦提美未羊肉串烧烤,[],[],106.530081,29.491607,,,440874.85870039737,3262608.391060793,050121,餐饮服务;中餐厅;清真菜馆,重庆市,重庆市,九龙坡区,,3.5
B0I1NOF62S,缘聚阁茶楼,广厦城6号附43号,18696646209,106.532101,29.492066,,,441070.9397949458,3262658.2250081194,050600,餐饮服务;茶艺馆;茶艺馆,重庆市,重庆市,九龙坡区,,3.4
B0L2RCN80F,享哆味汉堡炸鸡(九龙坡广厦城店),广厦城6号4幢1层底商,15023313912,106.52973,29.49172,,,440840.89899950364,3262621.0901570064,050300,餐饮服务;快餐厅;快餐厅,重庆市,重庆市,九龙坡区,,3.6
B0FFK1UQVA,波波面馆,黄桷坪街道九龙三村30号附2号,13647692057,106.528935,29.491312,,,440763.5957251052,3262576.2869848316,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,3.6
B0H0MXRVON,1516烧烤万州烤鱼,龙江路6号,13368173709,106.528882,29.491528,,,440758.5836558996,3262600.2473785295,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,3.1
B0FFI4BU3P,渝味卤菜,观江美郡西门东南120米,13617603760;15215179992,106.528724,29.491602,,,440743.31045192375,3262608.527228774,050300,餐饮服务;快餐厅;快餐厅,重庆市,重庆市,九龙坡区,,2.9
B0K6ACRNGQ,汇缘餐厅重庆电专店,广厦城一期6号院东区西南门西110米,[],106.531503,29.491375,,,441012.57060385775,3262581.963209798,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,2.5
B0FFFE6EG6,四季茶楼(九龙花园店),九龙民间文化美食街与高进路交叉口西40米,13594028436;13629705344,106.528019,29.491776,,,440675.07029103924,3262628.1661019414,050600,餐饮服务;茶艺馆;茶艺馆,重庆市,重庆市,九龙坡区,,3.5
B0J3CHGQRP,琪琪煲汤养生馆,黄桷坪街道九龙三村30号附3号,13983729687,106.529121,29.491413,,,440781.6850539564,3262587.383413719,050000,餐饮服务;餐饮相关场所;餐饮相关,重庆市,重庆市,九龙坡区,,3.8
B0LRRGJH88,郝一家荣昌卤鹅,九龙花园美食街,13617693240;13617693241,106.527767,29.491853,,,440650.68674860056,3262636.8264096626,050000,餐饮服务;餐饮相关场所;餐饮相关,重庆市,重庆市,九龙坡区,,2.6
B0FFK9MXBQ,约吧,同乐园东门西100米,15023765451,106.53551,29.485314,,,441397.5153227995,3261908.3635793547,050000,餐饮服务;餐饮相关场所;餐饮相关,重庆市,重庆市,九龙坡区,,3.1
B0KGRZET17,蒸味美(九龙民间文化美食街店),九龙民间文化美食街与高进路交叉口西40米,[],106.528019,29.491758,,,440675.05980293645,3262626.1716503575,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,3.6
B0L35RF2UB,潘老幺老火锅(广厦城一期6号院店),观江美郡西门南70米,[],106.527897,29.491815,,,440663.26655931445,3262632.549611091,050117,餐饮服务;中餐厅;火锅店,重庆市,重庆市,九龙坡区,,3.7
B0L0V9JJDV,重庆渝品轩餐饮文化有限公司,龙广路与转电路交叉口西120米,[],106.530375,29.490875,,,440902.93370541686,3262527.1340589863,170200|050100,公司企业;公司;公司|餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,[]
B0MG75I0VR,丹戈·鲜卤牛杂火锅(九龙花园店),锦昌路与高进路交叉口西南40米,13983729687,106.528893,29.491307,,,440759.52139333216,3262575.754349119,050117,餐饮服务;中餐厅;火锅店,重庆市,重庆市,九龙坡区,,1.0
B0FFHG8ODK,胖娃只挑面(广夏城店),九龙镇龙江路广厦城2号附3号,13206106668,106.530438,29.49361,,,440910.62819724093,3262830.147858451,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,3.9
B0FFIIY7QI,舒小笼松针小笼包(黄桷花园店),黄桷坪街搬运西村4号附5号,13637803334;13983495515,106.541011,29.491638,,,441934.4119007321,3262606.3227885263,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.5
B0FFH1G8YB,竹苑面庄(渝隆观江店),杨九路附近,13996017379,106.529891,29.494256,,,440857.9792480306,3262902.0043934197,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.2
B0LRFM6BF5,味随百杏,龙江路10号渝隆观江,[],106.529708,29.494463,,,440840.3602825459,3262925.0336118313,050000,餐饮服务;餐饮相关场所;餐饮相关,重庆市,重庆市,九龙坡区,,4.3
B0I12RB85Q,Carmen(卡门)西班牙餐厅,官家林190号十方艺术中心,15213645137;18580642617,106.537215,29.494074,,,441567.83249164006,3262878.138348274,050200,餐饮服务;外国餐厅;外国餐厅,重庆市,重庆市,九龙坡区,,4.4
B0FFJ7D2R2,好汉烤鱼(渝隆观江店),龙江路10号附28号(近九龙小学),13594080135,106.529999,29.493649,,,440868.0957550572,3262834.6921608625,050118|050101,餐饮服务;中餐厅;特色/地方风味餐厅|餐饮服务;中餐厅;综合酒楼,重庆市,重庆市,九龙坡区,,4.7
B0FFHQT033,重庆小面,黄桷坪铁路新村8号附5号(黄桷坪地铁站4号口步行310米),13638386486;18324193438,106.539095,29.492588,,,441749.2217967998,3262712.542900305,050300,餐饮服务;快餐厅;快餐厅,重庆市,重庆市,九龙坡区,,3.6
B0GDHA05ID,丁丁火锅串串香(渝隆观江总店),黄角坪街道龙江路10号附17-18,18983883913,106.53005,29.494069,,,440873.28343731613,3262881.203456115,050117,餐饮服务;中餐厅;火锅店,重庆市,重庆市,九龙坡区,,4.2
B0JU2XJ2Y1,巴门子老火锅(黄角坪店),铁路小学西门西180米(黄桷坪地铁站4号口步行320米),13388985276,106.539059,29.492644,,,441745.76409493084,3262718.7658751584,050117,餐饮服务;中餐厅;火锅店,重庆市,重庆市,九龙坡区,,4.3
B0GRDOKXJO,渝大师烧烤(保利心语花园店),黄桷坪街道龙江路8号2幢1-1号,15123133812,106.529287,29.495704,,,440800.27205553226,3263062.7541231704,050000,餐饮服务;餐饮相关场所;餐饮相关,重庆市,重庆市,九龙坡区,,4.1
B0HR45YE75,渔秋号子江湖鱼,临江村59号,17782268366,106.523016,29.482951,,,440184.90494019986,3261652.8917471915,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,大渡口区,,4.4
B00178X418,海阔天空茶楼(直港大道),直港大道206佳宇英皇酒店附近,023-68177519,106.53012,29.504043,,,440885.8618864494,3263986.3166490593,050600,餐饮服务;茶艺馆;茶艺馆,重庆市,重庆市,九龙坡区,,4.4
B0J145V8G0,香涎村烧烤城(杨家坪店),九龙花园美食街72号,18584500521,106.525976,29.492532,,,440477.4675047005,3262712.976274732,050000,餐饮服务;餐饮相关场所;餐饮相关,重庆市,重庆市,九龙坡区,,4.0
B0FFKMP49C,默浪烤鱼,黄桷坪黄桷花园C栋(玉兔王楼上),13896201719;15823089018,106.541155,29.491459,,,441948.2689443251,3262586.4172625975,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.3
B0FFGVW3V1,私人订制,重庆电力高等专科学校东区东门旁,13272532308;17623080308,106.539879,29.488869,,,441823.0957651712,3262300.0754032787,071100|050000,生活服务;美容美发店;美容美发店|餐饮服务;餐饮相关场所;餐饮相关,重庆市,重庆市,九龙坡区,,3.7
B0L035CQO7,交通茶馆·安哥哥米线酸辣粉,黄桷坪正街4号,13635495882;15223157368,106.542704,29.48978,,,442097.4716889204,3262399.607875968,050600,餐饮服务;茶艺馆;茶艺馆,重庆市,重庆市,九龙坡区,,4.3
B0G0BU38EJ,HI旋风毛肚老火锅,黄桷坪杨九路黄桷花园3号负1层,13883899775,106.541302,29.491314,,,441962.4362335718,3262570.2775513157,050117,餐饮服务;中餐厅;火锅店,重庆市,重庆市,九龙坡区,,4.3
B0K1NPSQ07,三妹茶楼,九龙民间文化美食街与高进路交叉口西40米,[],106.528011,29.491781,,,440674.2976988388,3262628.7241944033,050600,餐饮服务;茶艺馆;茶艺馆,重庆市,重庆市,九龙坡区,,3.8
B0H33UV1SC,两个胖妹串串香,铁路小学西门旁(四川美术学院地铁站4号口步行440米),18623548188,106.540615,29.492236,,,441896.36563591816,3262672.780469064,050117,餐饮服务;中餐厅;火锅店,重庆市,重庆市,九龙坡区,,4.4
B0LAG7QUIF,周三老面馆(保利心语花园店),黄桷坪街道龙江路8号1栋1-1,18580090855,106.528894,29.495426,,,440762.01504646655,3263032.150914349,050000,餐饮服务;餐饮相关场所;餐饮相关,重庆市,重庆市,九龙坡区,,3.9
B0J0BC3MOO,绵阳米粉(邮电路店),邮电路与新建路交叉口西南240米,13996208331,106.540194,29.489488,,,441853.9856046661,3262368.50485855,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.1
B0FFHLR977,李三娘面庄,黄桷坪铁路三村12栋1号,13072369378,106.543186,29.492502,,,442145.7434436137,3262700.973108875,050300,餐饮服务;快餐厅;快餐厅,重庆市,重庆市,九龙坡区,,4.4
B0FFMGEL5S,铜一首锅(耙牛肉滩子口店),滩子口95号第一层门面13号,13167815156,106.528733,29.495983,,,440746.73276642844,3263093.9501141054,050117,餐饮服务;中餐厅;火锅店,重庆市,重庆市,九龙坡区,,3.9
B0L69KNXI1,小地方牛肉汤锅,龙江路与龙江支路交叉口东南240米,19936195898,106.528078,29.496701,,,440683.6592494924,3263173.8403389934,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,3.6
B0KA1NPL65,德鑫老火锅,龙江路95号附2号,15025302733,106.528527,29.496257,,,440726.9238648636,3263124.4150331602,050117,餐饮服务;中餐厅;火锅店,重庆市,重庆市,九龙坡区,,4.2
B0FFHDW36V,东北娜佳餐馆,黄桷坪新建路4栋附4号,17784737448,106.543338,29.490131,,,442159.1310114895,3262438.184361222,050113,餐饮服务;中餐厅;东北菜,重庆市,重庆市,九龙坡区,,4.5
B0KU5UNTZO,五洲宴会中心,黄桷坪街道滩子口118号附28号,15808033767,106.523352,29.498289,,,440226.483884118,3263352.213982072,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.7
B0J0LCQXEN,杨嬢嬢鲜肉烧烤(黄桷花园总店),黄桷坪黄桷花园c栋(松针小笼包楼上),18875120178,106.541145,29.491485,,,441947.3143849041,3262589.3031215724,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.5
B0LKR76ZSO,土货人家,铁路新村8号附11号,[],106.539159,29.492488,,,441755.3685776717,3262701.4305911255,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.6
B0FFKCASMK,源珍堂时光小院火锅(黄桷坪店),铁路新村47号附61号(黄桷坪地铁站4号口步行430米),023-68513024,106.537295,29.492585,,,441574.73287700233,3262713.112822235,050117,餐饮服务;中餐厅;火锅店,重庆市,重庆市,九龙坡区,,3.9
B0KUUOUGVN,纳尼亚Narnia Cafe(四川美术学院黄桷坪店),四川美术学院内当代美术馆对面,[],106.541153,29.487387,,,441945.7535199333,3262135.2297153412,050500,餐饮服务;咖啡厅;咖啡厅,重庆市,重庆市,九龙坡区,,3.7
B0L1VZB8CR,滋味鲜卤,黄桷坪街道黄桷坪正街3号附5号,19922108378,106.542578,29.49005,,,442085.4108229722,3262429.587292575,050300,餐饮服务;快餐厅;快餐厅,重庆市,重庆市,九龙坡区,,3.7
B0K0HBF3O2,陳記隆江猪脚饭(黄桷坪店),搬运东村10号-89号,13032369702,106.541434,29.490095,,,441974.5374342897,3262435.143232472,050000,餐饮服务;餐饮相关场所;餐饮相关,重庆市,重庆市,九龙坡区,,3.7
B0LDRA9FZJ,交通茶馆.养生茶.盖碗茶,黄桷坪正街7号(川美门口),15320487422;18182397828,106.543035,29.488717,,,442128.95468226925,3262281.6600129986,050600,餐饮服务;茶艺馆;茶艺馆,重庆市,重庆市,九龙坡区,,4.6
B0H0JDT4Q5,520江湖菜(黄桷花园店),黄桷坪街道搬运西村黄桷花园3号楼-10号,023-68666178;15111979178;17830009386,106.541373,29.491262,,,441969.28923094145,3262564.480404973,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.3
B0FFJ29DJ0,享哆味中国汉堡(九龙坡黄桷坪店),黄桷坪正街3号附11号,19923562488,106.542198,29.490108,,,442048.60674319183,3262436.2030029474,050300,餐饮服务;快餐厅;快餐厅,重庆市,重庆市,九龙坡区,,3.7
B0FFJ1AD6R,刘氏重庆鸡公煲(美院分店),黄桷坪街道邮电路搬运东村10号附13号,18670108791,106.541076,29.489915,,,441939.73039207794,3262415.3772882787,050102,餐饮服务;中餐厅;四川菜(川菜),重庆市,重庆市,九龙坡区,,3.6
B0KB1SBA1F,余仙仙(重庆米线08店),滩子口星河名君底商3号铺(滩子口地铁站2A口步行450米),13618280625,106.527038,29.49771,,,440583.4373526084,3263286.1711397837,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,3.4
B0KGUDJCOR,黄桷坪市井老火锅(黄桷花园店),搬运西村黄桷花园3号附17号,13594008415;15025357435,106.54155,29.491079,,,441986.34308764274,3262544.1152635617,050117,餐饮服务;中餐厅;火锅店,重庆市,重庆市,九龙坡区,,4.1
B0KDGUOFXN,南站鲜菜火锅(黄桷坪店),龙吟支路铁路二村101号附4号,[],106.5419,29.494054,,,442021.965815567,3262873.578972459,050117,餐饮服务;中餐厅;火锅店,重庆市,重庆市,九龙坡区,,4.1
B0M67HYEFD,钵钵鸡,龙广路与黄桷坪正街交叉口西北500米,[],106.536675,29.486675,,,441511.2370654899,3262058.580065743,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,2.2
B0L65DNQ3L,梯梯豆花·碗碗菜,黄桷坪街道新建路3栋临街层22号,13452875552,106.543169,29.489857,,,442142.5925238239,3262407.908430226,050000,餐饮服务;餐饮相关场所;餐饮相关,重庆市,重庆市,九龙坡区,,4.2
B0IUOH9COS,吴幺妹肥肠鱼,黄桷坪新建路2栋一层号,13368134033,106.542662,29.490539,,,442093.8318543691,3262483.7280093576,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.2
B0ID77OGJN,农家三宝特色江湖菜(志龙·观江岭店),杨九路17号,13330236828;15823186742,106.535316,29.497538,,,441385.74570891896,3263262.914477425,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.5
B001795JEQ,王记烧菜,铁路三村3号,13883424552;13983986440,106.542889,29.492921,,,442117.19125875644,3262747.5471362663,050118,餐饮服务;中餐厅;特色/地方风味餐厅,重庆市,重庆市,九龙坡区,,3.4
B0FFIDL0VH,彬娃江湖菜,黄桷坪铁路新村8号铁路新村8号附1号,18202342727,106.538908,29.492866,,,441731.25362223276,3262743.4396856795,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,3.9
B0JU76AUAO,食尚江湖菜(星河名居店),滩子口97号星河名居(滩子口地铁站2A口步行430米),13648353300;18323039919,106.527474,29.497296,,,440625.4584630665,3263240.0761501025,050000,餐饮服务;餐饮相关场所;餐饮相关,重庆市,重庆市,九龙坡区,,3.8
B0HUZDHO4I,联防食店家常菜(铁路一村店),铁路一村28号附18号,023-68125697;18166318415,106.530448,29.502187,,,440916.5762509953,3263780.499604771,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.7
B0LRBHNFGT,谊火锅,黄桷坪铁路五村公交站旁(谊火锅),15696868023,106.545306,29.487779,,,442348.5765614724,3262176.6001075106,050117,餐饮服务;中餐厅;火锅店,重庆市,重庆市,九龙坡区,,4.1
B0FFM8NIWB,蔡大嫂餐馆,铁路三村铁路招待所旁,13224001626;13896973474,106.543652,29.492889,,,442191.1359960131,3262743.622184968,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.5
B0G0D79SKG,何府记美蛙三合鱼,新建路3号附24号(四川美术学院地铁站4号口步行50米),18523130865,106.54313,29.489905,,,442138.8391442388,3262413.246347017,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.2
B0G1FXUOQV,香泽源(万顺楼店),龙江路滩子口71号附9号(滩子口地铁站2A口步行240米),13650531738,106.526112,29.498543,,,440494.16477412375,3263378.943245099,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,3.6
B0JRBYMN8I,美蛙肥肠三合鱼(天河名港店),滩子口56号附20号(滩子口地铁站2A口步行150米),[],106.526495,29.49923,,,440531.6910242802,3263454.8690912277,050300,餐饮服务;快餐厅;快餐厅,重庆市,重庆市,九龙坡区,,3.6
B0FFL1KP9Y,铁色耙牛肉(滩子口店),黄桷坪街道滩子口56号附1-25,13372729506,106.526274,29.499082,,,440510.18274618604,3263438.583222596,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.0
B0FFJYAFZT,傅老大鱼庄(晋愉·九龙湾店),黄桷坪铁路一村28号附22号,13883564664,106.530672,29.501844,,,440938.089128179,3263742.3804358947,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.2
B0FFGX8I21,杨记卤菜店,涂鸦一条街东北门旁(四川美术学院地铁站4号口步行260米),13452922878;18983127211,106.541316,29.490007,,,441963.0483941262,3262425.451432256,050000,餐饮服务;餐饮相关场所;餐饮相关,重庆市,重庆市,九龙坡区,,4.1
B0LA2RMTMM,雾都小食堂,黄桷坪街3号附2号(四川美术学院地铁站4号口步行80米),13368166779;13983211877,106.541138,29.487559,,,441944.3974440437,3262154.2952538785,050000,餐饮服务;餐饮相关场所;餐饮相关,重庆市,重庆市,九龙坡区,,4.0
B0FFGZOLDQ,巧燕面庄,铁路三村12号附3号,[],106.543263,29.492504,,,442153.20875729236,3262701.1564373164,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,3.7
B0KK5RGQJA,有火由火面包(九龙坡五洲书店),滩子口118号五洲世纪中心,[],106.523537,29.498381,,,440244.47032118094,3263362.312835903,050000,餐饮服务;餐饮相关场所;餐饮相关,重庆市,重庆市,九龙坡区,,3.7
B00178VPWM,壹加壹=叁(滩子口店),滩子口49-70号天河名港,13594660612;13617666649,106.52697,29.499179,,,440577.7035291922,3263448.9754535956,050117,餐饮服务;中餐厅;火锅店,重庆市,重庆市,九龙坡区,,4.2
B0KDYUUCHU,老码头火锅,锦龙路276号,17782268366,106.523436,29.483262,,,440225.80505142856,3261687.1356719327,050117,餐饮服务;中餐厅;火锅店,重庆市,重庆市,大渡口区,,4.2
B0JGJS403T,垫江烧烤吧(荣安九龙壹号店),黄桷坪街道摊子口106号附21号,18680870770,106.524855,29.497116,,,440371.4855971103,3263221.4708835064,050118,餐饮服务;中餐厅;特色/地方风味餐厅,重庆市,重庆市,九龙坡区,,3.9
B001786TUG,二哥牛肉面馆,黄桷花园东北门西北450米,15723454299,106.53906,29.493802,,,441746.52362231293,3262847.0749851307,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,3.2
B0G1ZA48ER,幺妹烧烤羊肉串,滩子口95号附17号,18580398828,106.528986,29.495738,,,440771.11456829007,3263066.6745936438,050118,餐饮服务;中餐厅;特色/地方风味餐厅,重庆市,重庆市,九龙坡区,,3.8
B0FFI45I8G,渝隆茶楼(观江美郡店),观江美郡西门旁,15123856969,106.528024,29.492461,,,440675.9541137062,3262704.0635201507,050600,餐饮服务;茶艺馆;茶艺馆,重庆市,重庆市,九龙坡区,,3.7
B00178XDG5,酸汤鸡(新华苑店),新华苑B区(商贸)6-7号,13527553016,106.525156,29.502265,,,440403.6774309473,3263791.8414586796,050100,餐饮服务;中餐厅;中餐厅,重庆市,重庆市,九龙坡区,,4.3
