id,名称,地址,电话,经度_GCJ02,纬度_GCJ02,经度_WGS84,纬度_WGS84,Center_X,Center_Y,类型代码,类型名称,省份,城市,区域,营业时间,评分,人口密度,cluster_label,cluster_probability
B0G1395FVD,中铁十一局集团九滨路与大渡口连接道项目部,九龙镇九龙村88号,[],106.524211,29.490507,,,440305.185558194,3262489.504444766,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],64.73627,-1,0.0
B0GKMUSERE,中铁十一局集团九滨路项目部隧道专业队驻地,锦龙路与锦昌路交叉口南440米,[],106.523785,29.485687,,,440261.0617623767,3261955.653283674,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],82.584,-1,0.0
B0FFFE5CG5,重庆快彩印务有限责任公司,电力五村78号附7号邮电路,[],106.539092,29.487418,,,441745.9732417872,3262139.6943443506,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],89.51861,-1,0.0
B001786WJF,中国电信黄桷坪支局,黄桷坪邮电路,[],106.539265,29.48754,,,441762.8140206428,3262153.1256979723,170208,公司企业;公司;电信公司,重庆市,重庆市,九龙坡区,,4.4,89.51861,-1,0.0
B0LGL6HD0K,重庆焕潮文化创意有限公司,联芳街道富州路7号附1号1-6,13983088336,106.539086,29.487616,,,441745.5048559709,3262161.6362775955,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],89.51861,-1,0.0
B0LDGZAYHJ,重庆锦鲜润餐饮有限公司,龙江支路66号2幢3层,[],106.525418,29.492878,,,440423.5788459592,3262751.599613127,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],78.42813,-1,0.0
B0LUL774AI,重庆立方展览展示有限公司,黄桷坪电力5村79号,[],106.539821,29.487704,,,441816.8075461205,3262171.019270318,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],89.51861,-1,0.0
B001703325,重庆市自来水有限公司九龙坡营业管网所,电力五村7号(四川美术学院地铁站4号口步行390米),023-68500068,106.540105,29.489451,,,441845.3367894186,3262364.449626072,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,4.4,106.57124,9,1.0
B0I1LHJ1M8,重庆福肯机电设备有限公司,盘滩路与高进路辅路交叉口南220米,[],106.523952,29.49228,,,440281.118174054,3262686.090867227,170204,公司企业;公司;机械电子,重庆市,重庆市,九龙坡区,,[],96.48568,-1,0.0
B0FFHCL69S,中共重庆市自来水有限公司九龙坡营业管网所支部委员会,电力五村7号(四川美术学院地铁站4号口步行310米),[],106.540231,29.489576,,,441857.6226428839,3262378.2370115835,130400|170000,政府机构及社会团体;社会团体;社会团体相关|公司企业;公司企业;公司企业,重庆市,重庆市,九龙坡区,,[],106.57124,9,1.0
B0JKPSZKWT,四宝阁装裱厂,铁路新村8号附14号,15025461917,106.539173,29.492312,,,441756.62501849874,3262681.922298979,170300,公司企业;工厂;工厂,重庆市,重庆市,九龙坡区,,4.4,121.207054,9,1.0
B0L0T4A2X7,中铁八局黄桷坪隧道驻地,锦龙路与南北大道交叉口南100米,[],106.522023,29.490534,,,440093.0979169337,3262493.620390348,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],49.907738,-1,0.0
B0L2O1W4BK,中国五冶集团,华润·半山悦景南区侧门旁,[],106.52441,29.493994,,,440326.5202998376,3262875.7721460485,170000,公司企业;公司企业;公司企业,重庆市,重庆市,九龙坡区,,[],93.39977,8,0.5730089602951828
B001786U6J,重庆旭鑫汽车修理有限公司,铁路二村75号(黄桷坪地铁站4号口步行260米),13008334011,106.539394,29.493876,,,441778.9426209829,3262855.1072412725,170200|030100,公司企业;公司;公司|汽车维修;汽车综合维修;汽车综合维修,重庆市,重庆市,九龙坡区,,4.4,119.064095,9,1.0
B0GRRZHRV1,闻呓广告,黄桷坪街道黄桷坪搬运西村158号A栋1单元负1层4号,18502322956,106.540459,29.49229,,,441881.27418827487,3262678.841714147,170201|071300,公司企业;公司;广告装饰|生活服务;摄影冲印店;摄影冲印,重庆市,重庆市,九龙坡区,,4.1,102.9508,9,1.0
B0FFGK8HED,重庆合甫科技有限公司,陈勇诊所西北侧50米,023-67829210,106.528161,29.496588,,,440691.6388941082,3263161.2772984635,170206,公司企业;公司;网络科技,重庆市,重庆市,九龙坡区,,[],80.66242,-1,0.0
B0FFGK9A8Y,重庆协金科技有限公司,滩子口98号附5号,023-67829210,106.528161,29.496588,,,440691.6388941082,3263161.2772984635,170206,公司企业;公司;网络科技,重庆市,重庆市,九龙坡区,,[],80.66242,-1,0.0
B0HUDZLCKF,中铁十一局北引道项目部,九龙村4号附88号,[],106.523389,29.494111,,,440227.6172076085,3262889.260088161,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],107.88813,-1,0.0
B0L2S76N8O,重庆巨朋顺科技有限公司,龙广路224号附285号,13008327772,106.54013,29.4818,,,441843.3913354144,3261516.686166657,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],57.41893,-1,0.0
B0KGMST0K4,中国中铁八局集团有限公司成渝铁路改造工程施工2标项目(三工区),新建路156号(黄桷坪地铁站4号口步行350米),[],106.540419,29.493655,,,441878.1759443391,3262830.107450334,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],102.49891,9,1.0
B0FFGBPTLM,坦克库·重庆当代艺术中心,坦克仓库艺术西北门旁,[],106.542225,29.490175,,,442051.26224474335,3262443.613339164,170200|140000,公司企业;公司;公司|科教文化服务;科教文化场所;科教文化场所,重庆市,重庆市,九龙坡区,,3.8,96.16791,9,1.0
B0L35LFW9L,重庆瑞亨德科技有限公司,龙江路与龙江支路交叉口东南160米,[],106.527399,29.49732,,,440618.2024926004,3263242.7736943127,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],78.16737,8,0.7222075256204592
B0FFG49JZM,金刻图文广告馆,黄桷坪街97号附1号,13627677044,106.543341,29.488213,,,442158.3323354396,3262225.6633668914,170201|070000,公司企业;公司;广告装饰|生活服务;生活服务场所;生活服务场所,重庆市,重庆市,九龙坡区,,4.0,132.2433,-1,0.0
B001786TNH,博创图文广告,黄桷坪街95号附4号,023-86182360;15823586381,106.543374,29.488391,,,442161.63250557095,3262245.3698386075,170201|070000,公司企业;公司;广告装饰|生活服务;生活服务场所;生活服务场所,重庆市,重庆市,九龙坡区,,4.0,132.2433,-1,0.0
B001786U4P,重庆市九龙坡区再生资源回收,杨家坪摊子口福星水世界附近,[],106.524554,29.496283,,,440341.8205309612,3263129.326284712,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,3.5,129.1282,-1,0.0
B0FFFZ26CR,重庆傲寒广告有限公司,铁路二村94号附1-3(黄桷坪地铁站2号口步行360米),17783516087,106.539512,29.495447,,,441791.2793464573,3263029.1193959448,170201|170300|070000,公司企业;公司;广告装饰|公司企业;工厂;工厂|生活服务;生活服务场所;生活服务场所,重庆市,重庆市,九龙坡区,,3.9,110.23471,9,0.9383389794886968
B001792D1R,重庆木材有限责任公司外架分公司,星河名居西南2门旁,[],106.527518,29.497649,,,440629.9294009663,3263279.1671454664,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,4.0,78.16737,8,0.6991469716190433
B0FFG1PH53,华阳雕塑公司,黄桷坪街8号福星楼二单元3层,023-61567572;15826084643,106.543425,29.488875,,,442166.8513974844,3262298.9729790348,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],92.80105,9,1.0
B00178X6DB,重庆电务段信号修配所,铁路二村重庆南车站铁路派出所旁边,[],106.540976,29.494603,,,441932.710176533,3262934.8704076023,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],110.14045,9,1.0
B0I26ZFBNB,中铁八局集团第一工程有限公司测绘中心,黄桷坪铁路二村101号(黄桷坪地铁站4号口步行470米),[],106.541361,29.493793,,,441969.5685912978,3262844.9281155844,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],95.78255,9,1.0
B0L0LH8RYG,爻枢商贸,杨九路5号,[],106.534587,29.497929,,,441315.30722943926,3263306.605860841,170207,公司企业;公司;商业贸易,重庆市,重庆市,九龙坡区,,[],110.262375,-1,0.0
B0KKR7KJYL,重庆永信益建筑工程有限公司,新天泽江上云境东北门旁,[],106.534154,29.498205,,,441273.4947879054,3263337.405927073,170202,公司企业;公司;建筑公司,重庆市,重庆市,九龙坡区,,[],82.568214,-1,0.0
B001792DI3,重庆市九龙坡区扬子江印刷厂,黄桷坪8号商务宾馆(广夏城西北),[],106.527817,29.498576,,,440659.4526734663,3263381.728975432,170300,公司企业;工厂;工厂,重庆市,重庆市,九龙坡区,,[],55.047756,8,0.6076916945126621
B001790TR0,中国中铁八局集团第一工程有限公司,黄桷坪铁路三村3号,023-61519036,106.542948,29.493359,,,442123.1595348191,3262796.049387725,170202,公司企业;公司;建筑公司,重庆市,重庆市,九龙坡区,,[],106.42647,9,0.9215612140511308
B0FFGJ0KX9,重庆房建公寓段,黄桷坪铁路四村26号,023-61649551,106.544528,29.489659,,,442274.2215723195,3262385.2946839,170202,公司企业;公司;建筑公司,重庆市,重庆市,九龙坡区,,[],318.0371,0,1.0
B0J3VZ1UM0,重庆南供电车间,黄桷坪铁路三村3号,[],106.542425,29.493475,,,442072.52771770855,3262809.162729977,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],107.73099,9,0.9693908775647961
B0K2BO9ENT,九龙坡区九龙半岛片区排口及老旧雨污管网整治项目,黄桷坪正街230号(四川美术学院地铁站4号口步行310米),[],106.54444,29.488023,,,442264.7632596336,3262204.0652087587,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],318.29172,0,1.0
B0FFL0BHFT,重庆铁路材料公司仓库,铁路六村121号,[],106.544388,29.484779,,,442257.8829752676,3261844.647356316,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],540.9253,0,1.0
B00178X7UE,中国铁路成都局集团有限公司重庆车辆段,龙吟路东200米,[],106.540834,29.496661,,,441920.1195190153,3263162.9734230074,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],98.407036,-1,0.0
B0LR5DB6EU,重庆博克斯商贸有限公司,滩子口103号附6号(滩子口地铁站2A口步行290米),15213196843,106.52514,29.498181,,,440399.7351223672,3263339.330055486,170207,公司企业;公司;商业贸易,重庆市,重庆市,九龙坡区,,[],62.393314,8,1.0
B0L03ZCEU8,中铁渔秋浩工区,钢铁支路a13号,[],106.518638,29.491768,,,439765.6878869926,3262632.0984231723,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],69.12266,-1,0.0
B0H32H6NL4,中冶建工九龙坡人民医院迁建项目经理部,钢铁支路,[],106.517415,29.488167,,,439644.997898825,3262233.730618141,170200,公司企业;公司;公司,重庆市,重庆市,大渡口区,,[],48.81943,-1,0.0
B0L0RS5214,中铁八局集团重庆人民铸造精品工程,钢铁支路a13号,[],106.518533,29.491749,,,439755.4981234122,3262630.0475170705,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],69.12266,-1,0.0
B0FFG24AKR,园品广告,滩子口101号(滩子口地铁站2A口步行250米),15723301094,106.525428,29.498494,,,440427.8347607688,3263373.86390723,170201,公司企业;公司;广告装饰,重庆市,重庆市,九龙坡区,,4.0,62.393314,8,1.0
B001786U8J,重庆市新渝铁路工程有限责任公司,龙吟路附近,[],106.544102,29.49275,,,442234.6787777701,3262727.9971539536,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],560.8973,0,0.865381677802334
B0KRYGSCED,大东气门厂,黄桷坪正街126号重庆南站货运楼(龙吟路北),[],106.544776,29.484607,,,442295.40006844746,3261825.3969077286,170300|170200,公司企业;工厂;工厂|公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],67.942314,-1,0.0
B001797T0R,鑫宇图文广告快印(田野小区店),滩子口101号(田野小区大门旁),15923179302,106.524895,29.498928,,,440376.4243212229,3263422.2254263987,170201|071300,公司企业;公司;广告装饰|生活服务;摄影冲印店;摄影冲印,重庆市,重庆市,九龙坡区,,4.3,66.30481,8,1.0
B0LDKAGTID,中铁十一局九滨路与大渡口滨江路连接道工程A匝道,九龙半岛长江灯塔入口东220米,[],106.533196,29.499892,,,441181.6087800432,3263524.8143756483,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],87.18656,-1,0.0
B0JUUCKAP9,五洲世纪,天兴路49号(滩子口地铁站2A口步行450米),[],106.523075,29.498125,,,440199.5373586091,3263334.184618765,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],78.989784,8,1.0
B0LUPS4Q8P,重庆超麦食品有限公司,西子路202号,[],106.52302,29.497794,,,440194.0116100762,3263297.537087126,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],68.79749,8,0.8387201317310574
B0LGMCF3CW,草帽装饰,五洲世纪中心4楼3A01(滩子口地铁站2A口步行490米),[],106.522985,29.498126,,,440190.8140480989,3263334.3416807093,170201,公司企业;公司;广告装饰,重庆市,重庆市,九龙坡区,,4.0,78.989784,8,1.0
B0KR9AJBX5,中国铁路成都局集团有限公司重庆房建公寓段重庆房建车间,新合集团九龙坡仓库东南门西北100米,[],106.545987,29.487452,,,442414.4090411617,3262140.030534721,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],325.53622,0,1.0
B0FFJ4F6IR,重庆欧枘达广告装饰有限公司,铁路一村19号1-2号,023-68523697;13220399188,106.529962,29.500423,,,440868.4442409245,3263585.2900227867,170000,公司企业;公司企业;公司企业,重庆市,重庆市,九龙坡区,,3.5,89.391815,-1,0.0
B0HRAAMCZZ,中建五局嘉南线项目部,钢铁支路,[],106.516062,29.487504,,,439513.441907584,3262160.970646176,170202,公司企业;公司;建筑公司,重庆市,重庆市,大渡口区,,[],56.620056,-1,0.0
B0G3H55JB8,洪琪供应批发食品,新建路与邮电路交叉口东南440米,18702393849,106.546363,29.488376,,,442451.3814765105,3262242.226177925,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],318.29172,0,1.0
B0H3ASBOR6,中国建筑第八工程局渔鳅浩项目部,锦龙路中铁八局公交站西侧,[],106.517809,29.494107,,,439686.71169686207,3262891.695988161,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],71.07866,-1,0.0
B0FFJGNX8B,重庆铁路材料有限责任公司,龙吟路铁路五村3号(四川美术学院地铁站2号口步行360米),[],106.546825,29.486325,,,442495.0101665124,3262014.741711479,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],325.53622,0,1.0
B0KAOR4JOA,名佐食品供应链仓库,龙吟路3号(四川美术学院地铁站2号口步行270米),15310693451,106.546463,29.488268,,,442461.01457791537,3262230.210055127,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],318.29172,0,1.0
B0K0B7K013,重庆旋兆建材有限公司,杨家坪西郊四村176号,15923977188,106.518474,29.495441,,,439751.96366914193,3263039.1627334,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],87.88854,-1,0.0
B0M6UOT6TE,重庆电动挡烟垂壁厂.活动式挡烟垂壁,九龙镇绿云石都钢材市场B区8栋3号,13883673667,106.525029,29.499705,,,440389.8681863714,3263508.250714924,170300,公司企业;工厂;工厂,重庆市,重庆市,九龙坡区,,[],68.566414,8,0.9690215582479521
B0FFL4Y39R,新合集团九龙坡仓库,重庆铁路材料有限责任公司东北门北80米,[],106.546719,29.487019,,,442485.12614069233,3262091.69107794,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],325.53622,0,1.0
B0J2HN68CU,五零七货场,龙吟路与黄桷坪正街交叉口东500米,[],106.546507,29.484741,,,442463.2873284764,3261839.38759102,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],540.9253,0,0.9932027900276094
B0L62SNSRH,重庆好大哥供应链管理有限公司,黄桷坪街道铁路五村33号新合集团九龙坡仓库,[],106.546875,29.487475,,,442500.5066545751,3262142.139984959,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],325.53622,0,1.0
B0LBSZMJNW,重庆高益机电设备安装工程有限公司,锦龙路179号,[],106.518382,29.495022,,,439742.7976561567,3262992.783902029,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],87.88854,-1,0.0
B001786TJ2,重庆铁路材料公司仓库,黄桷坪铁路六村121号重庆南站507货场旁,[],106.546874,29.486222,,,442499.70222800586,3262003.3048391687,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],325.53622,0,1.0
B0H3ZUE155,重庆政瑜档案管理服务有限公司,新华七村202号附71重庆政瑜档案管理服务有限公司,15703050868;18723030861,106.519932,29.497643,,,439894.5947916475,3263282.3970084954,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],94.16545,-1,0.0
B0FFKH378C,重庆华建铁路工程有限责任公司,黄桷坪铁路四村28号,[],106.54743,29.489078,,,442555.2138277474,3262319.482510718,170000,公司企业;公司企业;公司企业,重庆市,重庆市,九龙坡区,,[],312.98126,0,1.0
B0LDFSNVNH,重庆新盛安全技术服务有限公司,京渝国际文创园5号楼302,18102389387,106.526105,29.501392,,,440495.15190111205,3263694.624633394,141400|170200,科教文化服务;培训机构;培训机构|公司企业;公司;公司,重庆市,重庆市,九龙坡区,,4.5,83.76319,8,0.8190732106743415
B0G0LUIGLM,渝柱实业重庆有限公司,黄桷坪街道九渡口79号,[],106.543788,29.47888,,,442196.36857022106,3261191.3209842904,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],45.513912,-1,0.0
B0KD9Z6V8W,成渝铁路改造项目黄桷坪站,晋愉·九龙湾附近,[],106.531349,29.502052,,,441003.8303538443,3263765.0839642137,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],130.82782,-1,0.0
B0JGLSG11Y,造物空间,三角道社区东北侧230米,13350313125,106.547648,29.488718,,,442576.1438608332,3262279.485993291,170000,公司企业;公司企业;公司企业,重庆市,重庆市,九龙坡区,,[],312.98126,0,1.0
B0FFI6BASP,重庆铁路服装厂,铁路四村18号1-4号,[],106.547764,29.489031,,,442587.565484563,3262314.109983748,170300,公司企业;工厂;工厂,重庆市,重庆市,九龙坡区,,[],312.98126,0,1.0
B0FFLC4QJ6,重庆柳叶刀品牌策划有限公司,滩子口正街29号附20号京渝国际文创园5栋3-8,023-68106299,106.526245,29.501394,,,440508.7231385441,3263694.77464309,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],83.76319,8,0.8190732106743415
B0J6B96V1T,英微科技有限公司,滩子口街道京渝国际文创园1栋2楼,[],106.528275,29.501875,,,440705.7693390919,3263747.0345859625,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],125.47975,-1,0.0
B0HGYZW4Q5,云庆广告工厂店,滩子口颐美华庭车库负一楼(滩子口地铁站2A口步行390米),19946851347,106.524154,29.501189,,,440305.92422165687,3263673.131057792,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],83.0804,8,0.8190732106743415
B0HD7ZOSUZ,兴财环卫公司渣场,上游村大平山,[],106.514309,29.487591,,,439343.5537202888,3262171.522776896,170200,公司企业;公司;公司,重庆市,重庆市,大渡口区,,[],64.69566,-1,0.0
B0JU3U9IAN,重庆市宏达物资回收有限公司,上游村201号,13114093089,106.514325,29.488275,,,439345.51221589546,3262247.3036573767,170200,公司企业;公司;公司,重庆市,重庆市,大渡口区,,[],38.016376,-1,0.0
B0H1RHANGM,重庆智宸再生资源回收公司,兴财环卫公司渣场东南侧,13883090881,106.51455,29.487322,,,439366.7566504578,3262141.591215581,170200,公司企业;公司;公司,重庆市,重庆市,大渡口区,,4.1,64.69566,-1,0.0
B001786U15,奥克混凝土有限公司,九渡口街8号,023-68511158,106.546219,29.480004,,,442432.6900004798,3261314.6584498244,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],26.155203,-1,0.0
B0LGNZRI30,重庆光引智慧城市科技有限公司,黄桷枰街道铁路一村28号1幢附10号,[],106.530294,29.50261,,,440901.8949334935,3263827.4474997544,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],109.89739,-1,0.0
B0K0S76X6C,重庆市九恩元供应链管理有限公司,晋愉九龙湾1栋(东北门),13220266967;13220266993,106.530335,29.502674,,,440905.906138203,3263834.5180664207,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],109.89739,-1,0.0
B0L3A5V0SO,重庆步步先进出口贸易有限公司,黄桷坪街道黄桷坪滩子口29号附20号126号,19562241606,106.527008,29.502192,,,440583.1458919806,3263782.8055572207,170207,公司企业;公司;商业贸易,重庆市,重庆市,九龙坡区,,[],96.983635,8,0.6291134821240867
B0H61HP1DW,英伦凯旋重庆凯立达,融汇大道66号附115号,023-62558866,106.51915,29.476297,,,439806.1773073081,3260917.6028843336,170200,公司企业;公司;公司,重庆市,重庆市,巴南区,,[],39.92341,3,0.4314638371744755
B0I6R7UZY9,重庆顺昌景观雕塑工程有限公司,滩子口正街29号附20号京渝国际文创园,13996059268,106.527046,29.502295,,,440586.88929719967,3263794.1988646043,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],96.983635,8,0.6326368732394798
B0LDH9LLCR,瑞烨文化,京渝国际文创园6栋1号(滩子口地铁站1号口步行450米),[],106.52706,29.50246,,,440588.3426151731,3263812.4742184817,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],96.983635,8,0.6370107359454066
B0LDSR35SI,重庆每高美科技有限公司,京渝国际文创园1号楼3楼,[],106.528004,29.502609,,,440679.92952449946,3263828.5021642763,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,4.1,82.986046,8,0.6109121659272327
B0K22CFHZR,英微家居重庆分公司(展厅),黄桷坪滩子口京渝国际文创园地下停车场-2楼,[],106.527975,29.502875,,,440677.2736706212,3263857.9905620385,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],111.160675,-1,0.0
B0I3FLY05D,蜜匠贸易有限公司,巴滨路与峡谷路交叉口东南120米,[],106.521361,29.474679,,,440019.5878702732,3260737.1831508703,170207,公司企业;公司;商业贸易,重庆市,重庆市,巴南区,,[],63.91632,3,0.29043785580516174
B00178X7RG,重庆泽众园林股份有限公司,李家沱融汇大道66号,023-88966208,106.519187,29.476037,,,439809.6109619774,3260888.7750534187,170200,公司企业;公司;公司,重庆市,重庆市,巴南区,,[],39.92341,3,0.4573407409783093
B0J30A94X2,齐鑫鼎然酒业(重庆)有限公司,巴滨路1350号,13637752668,106.521654,29.474217,,,440047.7237010489,3260685.841431283,170200,公司企业;公司;公司,重庆市,重庆市,巴南区,,[],48.41324,3,0.4495303187671306
B0HA6UDS45,重庆融汇物业管理有限公司,李家沱融汇大道66号附122号,023-86532161,106.518151,29.476538,,,439709.4638563947,3260944.823221563,170200,公司企业;公司;公司,重庆市,重庆市,巴南区,,4.2,21.999247,3,0.37677976682449027
B0FFG8LR3Q,重庆铁马工业集团有限公司置业分公司,杨家坪正街,17723990196,106.518933,29.500876,,,439799.6712253675,3263641.139853243,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],112.496574,-1,0.0
B001703252,重庆北奔汽车有限公司(锦龙路),杨家坪街道锦龙路,[],106.515811,29.496975,,,439494.73803899885,3263210.5163795697,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],86.170815,-1,0.0
B0I6RCUCKM,中节能大地(杭州)环境修复有限公司重钢项目部,钢铁支路,[],106.512249,29.488106,,,439144.16030321456,3262229.661620867,170000,公司企业;公司企业;公司企业,重庆市,重庆市,大渡口区,,[],37.396725,-1,0.0
B0KBO1D1Y0,重庆恒汇玻璃销售有限公司,杨家坪正街与复兴路交叉口东南260米,023-68425963;18325002901,106.519462,29.501752,,,439851.4647047904,3263737.929777779,170200,公司企业;公司;公司,重庆市,重庆市,九龙坡区,,[],74.41196,-1,0.0
B0I3TK34R3,迎枫广告图文,李家沱融汇半岛天澜三栋楼下251-5,18290304391,106.514557,29.476286,,,439360.86543916375,3260918.7673420487,170201,公司企业;公司;广告装饰,重庆市,重庆市,巴南区,,4.2,29.465887,3,0.6409708261307857
